Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
6	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	96.39	11.15	53.01	49.66	49.66	76.41	39.18	70.0	35.23	131	66	14	13	176.019	13735b537af983a208835071423ebe864d2b2b8da3e89fc2422462ba8b12e59e	88.76	8.51	50.43	46.47	46.47	74.11	38.01	69.2	33.37	95	48	11	11	120.54	25eb6cad2d6bd51ca200f4f6bc13e94dab9c63bae22f099faea32c8e02f4384b	96.39	11.15	53.01	49.66	49.66	76.41	39.18	70.0	35.23	131	66	14	13	125.969	13735b537af983a208835071423ebe864d2b2b8da3e89fc2422462ba8b12e59e	88.76	8.51	50.43	46.47	46.47	74.11	38.01	69.2	33.37	95	48	11	11	119.395	25eb6cad2d6bd51ca200f4f6bc13e94dab9c63bae22f099faea32c8e02f4384b	99.88	16.59	59.43	55.2	55.2	80.21	41.69	71.53	39.83	0.0	5000.0	533640.0	0.0	0.03	0.01	0.06	0.06	0.02	0.01	0.0	0.02	0.0	0.0	133280.0	0.0	("b4dd471505e40aef55432ca2b68903c85bb68b600bae29ab89e30df227a47905", "211839ea92c3bf12cc6fa92b5a4044de56adedbcdf461054251db05ad7170589", "71547ca60f9e88d2baea82c62ad0910340dea3bdbf08d6a1c5ea7d9cb22d1d23", "44c4ccb65f49c041b609da8a29ebc1cc2968875782a5eea102a1cc89ce937737", "b2000ab0496b5ad5d0e14997a904f65e9a591eb7391873581419717203cfba7d")	100.0	16.68	59.51	54.94	54.94	80.45	41.94	71.57	40.04	40.6	10000.0	1.06788e6	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.02	0.0	96920.0	9009.055	("9ebb2a52cdd0d252fe96499418d88de42e6725711a5d6062ce7ebca9226cfce1", "a513aa6a2a3a74c9d6a1d789cfdc28763ea9d09cc21db3fea30b0d9125fd452d", "782cdd257fde926ad41a9c209739534ca535ca1c1b0ffe156b782f0b55e70648", "897d19d16b17ef3c54cc0f24da063ec742ec945e72a29b35f0bec6986d961402", "d32f54fed0e08876eb697b42fd834420bf1e922813c33b52a1a497539b7d8b41")	
7	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	96.79	8.93	45.85	47.69	47.69	75.6	38.45	69.46	31.75	143	72	16	14	296.75	2222d5cf463b6209f31ea9710a1c48bf8e6a7c102d0c77dc86d060f9f6ab184f	86.75	8.51	47.42	46.8	46.8	74.78	37.94	69.32	31.94	97	49	15	12	257.034	2ba21a8afd40a972aa7e74b94aa6c631a961be38b70c9c952f0bbbee28549724	96.79	8.93	45.85	47.69	47.69	75.6	38.45	69.46	31.75	143	72	16	14	261.144	2222d5cf463b6209f31ea9710a1c48bf8e6a7c102d0c77dc86d060f9f6ab184f	86.75	8.51	47.42	46.8	46.8	74.78	37.94	69.32	31.94	97	49	15	12	261.877	2ba21a8afd40a972aa7e74b94aa6c631a961be38b70c9c952f0bbbee28549724	99.88	18.6	60.86	59.44	59.44	80.72	42.79	71.99	41.75	0.0	5000.0	539720.0	0.0	0.04	0.07	0.1	0.1	0.02	0.01	0.0	0.03	0.0	0.0	96720.0	0.0	("54708a795fbee67d8fe92b6bd90cde5edde32998888f40d2466b536d5931177c", "5065e10693aaa2860d109ad565c9864e69f0c4f9de86591786b6f131f5da81a2", "31ef332e35650c6f0f52bab6df2bfb04a6515ff71608aa8048ee52e06a78e5c3", "3758f65c8cdd69fb0abf6358dc78bae9d3b186a5e7fced621727e088b13acca9", "c84ff4ed551184390ec590eca02b9158717b6216c672b26aec119178dc1ac402")	100.0	18.31	61.43	58.32	58.32	80.37	42.49	71.89	41.63	42.57	10000.0	1.07888e6	0.0	0.05	0.05	0.06	0.06	0.02	0.01	0.0	0.03	0.09	0.0	418320.0	9247.694	("ac70d918bcb42f5dbd45e99fdee76c0083467c17a22a7448a8a105415ea16a90", "4d91b83f0a0cc6524d2c2ed2f34da05fda0c27cc75c44798bdfdc48ee5682cfa", "82c8ae696f82ec30fa24e3d69c96797919fc47e4786e07fd0af1d17b718a7fce", "103e609e11798d62ad88eab4774ba5bd94003c57b8dadb3cb24b1455120b658f", "4197a895bbb05e5e865527f3040faa74dbab73907d597362d91c8bec5a96035d")	
8	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.39	13.47	56.88	51.13	51.13	78.13	39.94	70.66	37.18	137	69	12	10	285.187	05562867d9c6378846067ec50b31a1a36be1a6c0695776dbefb28c8c47017700	89.56	10.13	50.14	47.84	47.84	76.43	38.72	69.78	33.54	99	50	11	10	239.344	36a9800be19a9ff88131f3effeb7e8e21a5f40446227e15db188d745df61549c	97.39	13.47	56.88	51.13	51.13	78.13	39.94	70.66	37.18	137	69	12	10	248.937	05562867d9c6378846067ec50b31a1a36be1a6c0695776dbefb28c8c47017700	89.56	10.13	50.14	47.84	47.84	76.43	38.72	69.78	33.54	99	50	11	10	237.656	36a9800be19a9ff88131f3effeb7e8e21a5f40446227e15db188d745df61549c	99.88	15.81	62.35	53.2	53.2	78.13	41.5	71.16	40.73	0.0	5000.0	529480.0	0.0	0.02	0.04	0.02	0.02	0.01	0.0	0.0	0.01	0.0	0.0	455720.0	0.0	("e785ed54170dee2a1da65913328e580369fb0fd9c0847040e2ac51a5d520fcd2", "fa2855f58b2c702a15287a5c01a3d48784eaafb4fcee7d702fff90fabd6ab1ed", "750a209dfbf9be69a7a6eb40cef79ca3e5c951261d507c7a49ac79ff29a33de2", "d0d511b1b4eb53bf35f88ca079d1cb6aa056e78c308268d934ecd12f04ae1eba", "f2ab33fc499257fef2db2c83eccf71608c383a16c3316fc39bc52a3c9cd13af3")	100.0	16.94	64.21	53.32	53.32	78.8	42.0	71.51	41.64	39.4	10000.0	1.06024e6	0.0	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	588680.0	8877.398	("4db767317971ae5e7c5999d4aedbe3adde20f3d7138ac25080ecacfb665d4022", "1c2c4da84576392a2bf8372035fef62de973c737f399b3f098f2e2b87265ff62", "879b4c860a45186b6ab3b95d91b4191f89910f208abdedea219f93dbac353f01", "46757a4f6c8e86941acf18f7644b26d8fa717d470942f01461ba5fac6c78e6d3", "d4c62b0c44b328f14072cbd8d8714bf623095200abac1b758a80e0c3d1fec4ae")	
9	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.99	13.57	55.3	54.23	54.23	77.57	40.45	70.62	37.56	133	67	15	13	235.882	6a2cf833a20b0519636db1f21472f6b139b91ba4f9fcfa6ce093652bc2c694b6	90.16	12.63	53.58	54.31	54.31	76.62	40.19	70.34	36.87	87	44	14	13	203.627	43173d447da9930ce49d4f605e084e6090cee61b5f78160ad312f1039e168ea7	97.99	13.57	55.3	54.23	54.23	77.57	40.45	70.62	37.56	133	67	15	13	203.876	6a2cf833a20b0519636db1f21472f6b139b91ba4f9fcfa6ce093652bc2c694b6	90.16	12.63	53.58	54.31	54.31	76.62	40.19	70.34	36.87	87	44	14	13	203.505	43173d447da9930ce49d4f605e084e6090cee61b5f78160ad312f1039e168ea7	99.96	23.19	66.59	62.05	62.05	82.96	44.51	73.23	45.29	0.0	5000.0	536920.0	0.0	0.01	0.01	0.04	0.04	0.01	0.0	0.0	0.01	0.0	0.0	256520.0	0.0	("e384ddbb7fae1f392a599d87cfd0a014f1564932765ae2b6f5a982f963676adb", "cba964acb03ac81bb025a9915d496fc33328e293369cd9dd63b2e21231fa23da", "241c85c29f7ae448034975f44529fbd4ff7ed18e9b677b0987e02edcedb85da8", "fdc713681dccced273aeb78cbf3dab716bdf9e45160fe40b667305f50b6de842", "debcd95fbb1a223acdc126bd4950985e1797ba498fd5b27dc44eded26701229d")	100.0	26.21	69.2	65.26	65.26	83.95	46.03	73.98	47.8	40.72	10000.0	1.0734e6	0.0	0.01	0.01	0.02	0.02	0.0	0.0	0.0	0.0	0.03	0.0	763600.0	10115.74	("8fc078747540c0c287b4c8a8e5197e95dc055bd784747f19d6279e524e4bd086", "b54e2a6b75c12c4800c02d40b788096b4ad4985347c8d2456e79f846fa9459e0", "00184865471f7f92ab009814ea8c5f19ad6484a2f810e79bfd5f134f22b6a413", "7f48a92166a7e8ad94ba3cb16ac72f61f9a441df5f9b58f558b7866db5e0c975", "9bb04378bcc87175b765031e74252c289cf7dfcbd78415bde8600aef1d20edbe")	
10	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",8.0 => "Risky",Inf => "Low-Risk")	10	(3,3)	60	60	498	698	(166, 166, 166)	(42, 614, 42)	[52]	[(20,)]	97.19	13.52	54.87	52.59	52.59	78.46	40.24	70.7	36.85	143	72	13	12	247.546	2f1c6bec58909955ba0da00e784bcef0b624c6d2ebfa84ca5dab2be973c5572a	89.96	13.13	54.87	51.85	51.85	78.11	40.05	70.58	36.66	107	54	11	11	218.562	1c053395f75fd646f58d1e3fcf5dd2a6511d30152601a178f48049456219835d	97.19	13.52	54.87	52.59	52.59	78.46	40.24	70.7	36.85	143	72	13	12	223.499	2f1c6bec58909955ba0da00e784bcef0b624c6d2ebfa84ca5dab2be973c5572a	89.96	13.13	54.87	51.85	51.85	78.11	40.05	70.58	36.66	107	54	11	11	217.552	1c053395f75fd646f58d1e3fcf5dd2a6511d30152601a178f48049456219835d	100.0	19.56	62.38	59.27	59.27	81.47	43.24	72.27	42.61	0.0	5000.0	536200.0	0.0	0.02	0.02	0.05	0.05	0.01	0.01	0.0	0.02	0.0	0.0	104600.0	0.0	("51c520364472760dc399517a6a9debaa1aeb1a4c886399ca8148578f3bf4da65", "d3d7853e90924aa0a8a718f052ffd2742b11bdec5ad4ecc01ccf3308197d9d4e", "1bc55edf08540e2407575264608ad93d93d643c8c89b47e895461896ae6136e2", "588b7c33b0d835cd95ba88f99cf5b2f3474190077588fdf56a11d3e14370a107", "77007eb39ec6ca68e278cfbde2c1c7884c8162fc186f944f704ef3b9d0ab2da9")	100.0	21.89	64.5	62.0	62.0	82.56	44.52	72.86	44.71	42.13	10000.0	1.07388e6	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.03	0.0	335320.0	9262.993	("1f55217cfe2f09c0253cabb92cade0531fcf3227b66a760d812669b1862ef98a", "8f1480081db71b7d97de211afd16b648847ca52614c65fe58496f3e867f1d080", "a7ee0762be3c4a3608c910af9f7f5a43b082dee1ef446e147c4fe2d555df3b45", "6e758be6713e90c5d9d6956d049fa16d9f3e5838d43e1102510e6156d1802830", "e82c1014c828b790e1419b417a8891cf39328381d47c8737b73ae729a25a160f")	
1	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(2,2)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(30,)]	97.56	3.62	39.61	47.01	47.01	72.3	35.44	67.88	24.43	45	23	10	7	615.434	bcd33867d619ecb72c06702f7cc576ca7b4303cc7f49f249d94d25d81c5f92ef	91.06	3.88	45.48	46.12	46.12	72.57	35.44	67.92	26.66	35	18	10	7	91.328	d03f1c0f575ac1965769a348c2a6736d6a68199c95ab3ca5014cd82a9e4598a6	97.56	3.62	39.61	47.01	47.01	72.3	35.44	67.88	24.43	45	23	10	7	94.552	bcd33867d619ecb72c06702f7cc576ca7b4303cc7f49f249d94d25d81c5f92ef	91.06	3.88	45.48	46.12	46.12	72.57	35.44	67.92	26.66	35	18	10	7	91.422	d03f1c0f575ac1965769a348c2a6736d6a68199c95ab3ca5014cd82a9e4598a6	99.84	3.63	41.03	45.74	45.74	73.63	35.44	67.84	24.72	0.0	5000.0	153840.0	0.0	0.0	0.06	0.21	0.21	0.01	0.0	0.0	0.02	0.0	0.0	102880.0	0.0	("ff2c30162c5bf6c910164bd497a41faaf52143988230a8c4d9ec3ddb5f434cf6", "4e37e3d57a114eacfd301605e4f106a245166d4ad3223227c661ff36b692b83a", "80815c086289ea308992b1f9bde908991423ee36f5a79b1bf90b776c1ccb31c8", "72783feb68953aa6b45f0c20aa60efdb220d4df6eb9cded84e9459a806e2c2ac", "68ce42fa3b68e4dabcba8308b076ddf2523de207243c9bba801a0a629006f675")	100.0	3.46	42.63	46.91	46.91	72.82	35.32	67.78	25.41	55.28	10000.0	308320.0	0.0	0.0	0.02	0.14	0.14	0.01	0.0	0.0	0.0	0.08	0.0	94920.0	2459.307	("fa7bae4ac6bb4bfef1f8591eea25d673e48e097a2134e60b3b530294e052c581", "70718ca9910ddd4bbba246192f24ce661616fc9414931d6b17e3b122accdeab5", "055d6e0976eb0dd69de37b32f646ce4fa3c01e2cd46dc6de4777077f92472318", "09b904db4bf6c73428e2707c7c8fe6cae7f82398d3b8f22bf392256631d5ca8e", "58df18ffae3ba7f5f25e267942c2e2725a7c3116b522d2e31866a2ed1ab861d9")	
2	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(2,2)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(30,)]	97.56	1.9	42.59	42.13	42.13	69.27	34.42	67.24	24.81	41	21	7	5	382.069	162b492aeaac1f9e24ef3f20821fa8f9ff3f0e9b671995b0e4e72d023a19754d	91.87	1.94	42.96	42.26	42.26	69.39	34.43	67.26	24.94	33	17	7	4	63.624	56df3f1ae12b753e576a0427388311337193349efc4dc379fcd322adac37b081	97.56	1.9	42.59	42.13	42.13	69.27	34.42	67.24	24.81	41	21	7	5	62.362	162b492aeaac1f9e24ef3f20821fa8f9ff3f0e9b671995b0e4e72d023a19754d	91.87	1.94	42.96	42.26	42.26	69.39	34.43	67.26	24.94	33	17	7	4	63.107	56df3f1ae12b753e576a0427388311337193349efc4dc379fcd322adac37b081	99.67	3.3	48.87	48.66	48.66	70.67	35.12	67.62	27.79	0.0	5000.0	148800.0	0.01	0.01	0.17	0.03	0.03	0.03	0.0	0.0	0.03	0.0	0.0	60400.0	0.0	("e928a1e23665154f4186503d1662996a586cc47610334da2da0209a65a99f9b7", "8a555da1db7fb7b64adee0aacdc3fef971b9ec01cbbec3a1ee9cff39d2040ec6", "20c2da14f09b7e18bfa796e065f6a7b760be17a8b3c5a7e827b99da3504a87d3", "0f552c41e0dc8549c24da5e78ab0290d6949e8c75be247266b17ae238aa011dc", "c319285b9cd25d5f13c98ee0679b6a750d940286254cf2cbbd58210de1837341")	100.0	3.42	50.21	49.15	49.15	70.9	35.17	67.64	28.3	50.41	10000.0	297640.0	0.0	0.0	0.03	0.07	0.07	0.01	0.0	0.0	0.01	0.18	0.0	193680.0	2353.697	("ad1d3939a8e3ce029c21454b061f38d1d607a534f7c0792f5125603fab96ec54", "1bc9a62931478cb6ff41c05366f3ff11ab244b5a3a98868c171b2f333de65044", "8eba136752e065d4d805f00540509922e825c8d4e2dc30ee814e22af3c80a61d", "066bd07d99719d22b8a1e238c5c60d7e47d51892a1cd33565cd70c0cec00d4ac", "9a1176cd9fb1445ae6a21df2ec72266c21eabc75b402477acb852edd3561488b")	
3	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(2,2)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(30,)]	97.56	2.47	35.97	49.2	49.2	70.5	35.2	67.52	23.09	43	22	11	10	301.962	a1ca9973aa0cd4f72fad9b2e64c6a9621b5a508a6883dc88217e3a2855d2c5c5	88.62	2.19	35.88	47.16	47.16	69.6	34.98	67.46	22.93	25	13	9	9	72.978	54f8ea490bd91e7279a1c78fafcfc7fe2218949b2cb1159948e3e5c49e380812	97.56	2.47	35.97	49.2	49.2	70.5	35.2	67.52	23.09	43	22	11	10	78.012	a1ca9973aa0cd4f72fad9b2e64c6a9621b5a508a6883dc88217e3a2855d2c5c5	88.62	2.19	35.88	47.16	47.16	69.6	34.98	67.46	22.93	25	13	9	9	72.685	54f8ea490bd91e7279a1c78fafcfc7fe2218949b2cb1159948e3e5c49e380812	99.67	3.36	47.79	47.48	47.48	71.58	35.1	67.67	27.22	0.0	5000.0	152800.0	0.01	0.01	0.13	0.03	0.03	0.01	0.0	0.0	0.02	0.0	0.0	39200.0	0.0	("1fd4b5efee76efbfa4d082c464ec998ea955ff02ca5b8ec98404b5852e5b2d08", "0df1bf3b8ac96020a5c26093f3e1709940823bc2c4107ad8ca9760b02468e582", "e6bb1dd30f06c03f739d01c56886a8405685024e12530bf550c256dbe549196a", "e2e72f3aab746875050c666c239ea02f6f9bd09377e47a36ef961dff568c8a76", "bb0aedacf4bb0e122f90026deed5641467e445d81dbceeb06a8d8229e7fbfdb3")	100.0	4.21	49.32	50.22	50.22	73.02	35.49	67.93	28.09	56.59	10000.0	304160.0	0.0	0.0	0.05	0.16	0.16	0.0	0.0	0.0	0.01	0.17	0.0	23080.0	2260.665	("c54cdf79b5474b7da31f37bfac1c4a0d21f2c681df6f4d18343b5dd199061391", "84b3d2e7e63a027b0b46650abd24605f5e08c0b9b8bd0ef3466efc3188479c02", "7d095c1e26fd08880711c017298edfc89e3948537f5da65893fe7e101adeb122", "f86a005d6d6bce2c210e8a79940f404584a3f11af40c2688993720ab8dd317a4", "178b7d3e804ad52f8f3a47071e09501036606be5a866b4f2bbd9baab135f0eac")	
4	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(2,2)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(30,)]	95.93	3.07	46.69	43.08	43.08	71.41	34.89	67.61	26.52	39	20	8	7	23.21	b2fcd43fad99fc1090a51c7305bd0dcec0d8fe4f54918f28edc2c373f9ba516f	86.18	2.68	50.51	43.48	43.48	70.73	34.62	67.46	27.53	27	14	8	7	5.024	c36c188fc607c07e097796f29cbf0a042614e350c014871b986d05abb31ae7eb	95.93	3.07	46.69	43.08	43.08	71.41	34.89	67.61	26.52	39	20	8	7	7.238	b2fcd43fad99fc1090a51c7305bd0dcec0d8fe4f54918f28edc2c373f9ba516f	86.18	2.68	50.51	43.48	43.48	70.73	34.62	67.46	27.53	27	14	8	7	4.928	c36c188fc607c07e097796f29cbf0a042614e350c014871b986d05abb31ae7eb	99.84	4.32	47.55	48.38	48.38	73.22	35.56	67.99	27.46	0.0	5000.0	154160.0	0.0	0.02	0.19	0.11	0.11	0.05	0.0	0.0	0.02	0.0	0.0	33080.0	0.0	("b3fe98563aeb541d72c77ade76f428ade63b1ec233d928b1679599f3d692bcf4", "70ca1c3dc4bfdc5765b0c67d98e72d6b64d8ce9b735f5f7404c44969c5ee76b5", "1aa1ab3d074b3ade086dff8c4d65af8f1818f4656a0b386587ee677b83569e7d", "13890ff131eba88953c58bfe0998ded671b82a21536bdd7f599a2795ffa00260", "e474376691aae630a9e9180c1b9c164e83828b17821609b2a87cfa7c07a37441")	99.84	3.69	49.99	44.98	44.98	72.6	35.09	67.78	27.74	49.43	10000.0	309520.0	0.0	0.01	0.08	0.05	0.05	0.02	0.0	0.0	0.01	0.03	0.0	244720.0	2239.373	("d33d737a4e0e5b14ce3e58bc1770224dc457dcbd942c80bc4a4949d80f0b3ec9", "80e66afeb389cce5f666cbb5301aa1d15e7de5553a51cd7e514146c124f91db2", "fb9132cd82e0bff6ee10428124fb43bed999a3f4508ab9fee49bac678ea1492c", "f1eb6feb538661d4f0cca50eebe9a8419b8ad5db8e687c47a0a48a44e6893f7f", "7927deb84682aa936483945068585f674c36f989fe63ea4fd72e0f34bab436d3")	
5	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(2,2)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(30,)]	95.12	1.12	41.1	41.08	41.08	68.93	34.29	67.0	24.18	43	22	11	10	269.048	80fd0c58f1bd8c58c1310e5a2dcdd2bf2a88cb68ab8a8809c9eec94e0a25423b	89.43	1.93	38.02	41.96	41.96	70.78	34.73	67.3	23.15	33	17	9	9	102.554	ae357edd91bba87b474922f48fa8bc10e423ad2231665a274b3dc277d24d36d6	95.12	1.12	41.1	41.08	41.08	68.93	34.29	67.0	24.18	43	22	11	10	107.642	80fd0c58f1bd8c58c1310e5a2dcdd2bf2a88cb68ab8a8809c9eec94e0a25423b	89.43	1.93	38.02	41.96	41.96	70.78	34.73	67.3	23.15	33	17	9	9	102.566	ae357edd91bba87b474922f48fa8bc10e423ad2231665a274b3dc277d24d36d6	99.67	4.09	47.42	48.03	48.03	72.27	35.46	67.9	27.44	0.0	5000.0	156360.0	0.0	0.0	0.13	0.05	0.05	0.01	0.0	0.0	0.02	0.0	0.0	55880.0	0.0	("e78231ad853a17359b0e1532299b4171ee63503200e7bd91de3be13e254274c0", "41acd89c6584e02e43ab2e2c4dd8ab3feecf02f4330f578bd2b8f8f35b66b233", "b4e8fecab52c58a18bbe087c0fff12f6dd15e9d8cf2a2f530b11d381643adeb3", "e24461572e30fc3aed895a6f1a3206c43c8b9f5041eb6fae48fb2ce38ed83a67", "d0578b4795f125ae4ba491607dc0d1639b4de1ff7b2ab2e835a9faee49a3dd00")	100.0	5.14	50.1	49.78	49.78	73.37	35.88	68.18	28.81	53.5	10000.0	311320.0	0.0	0.01	0.05	0.05	0.05	0.01	0.0	0.0	0.01	0.12	0.0	69320.0	2261.794	("c7861d7d17431cef2dba087862694bc9864b6a0bbab4274bd595f4438e46f2c9", "2ec14d464ab21b15e207dd77ddb390658e570a20767920b4d380feb4e986c3c0", "4ca64759fbe6c0ef6b0305a91499eb2362952e962dfcafc734ed51f3faaf6af4", "d073a086bab235448fd122120dea1d05b06d3c08ff94344923b9c3515f1f9fb5", "95287793dfdb0a3dc93e956d47cde177431544f0777e6cb3216b0a69eea058d3")	
